CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,CMD13,CMD14,CMD15,CMD16,CMD17,CMD18,CMD19,CMD20,CMD21,CMD22,CMD23
G122,H3201,H813,J673,I426,K223,R179,M0184,L138,E613,N209,,N910,O328,,R768,,B080,F01910,F1406,T058,,Z010
G128,H3208,H814,J674,I427,K224,R18,M0185,L139,E614,N210,,N911,O329,,R769,,B082,F01911,F1407,T059,,Z011
G129,H328,H818,J675,I428,K225,R822,M0186,L14,E615,N211,,N912,O330,,S360,,B083,F01912,F141,T063,,Z012
G130,H330,H819,J676,I429,K226,R932,M0187,L200,E616,N218,,N913,O331,,S3600,,B084,F0192,F142,T065,,Z013
G131,H331,H82,J677,I430,K227,R945,M0188,L208,E617,N219,,N914,O332,,S3601,,B088,F01920,F1420,T068,,Z014
G132,H332,H830,J678,I431,K228,S361,M0189,L209,E618,N220,,N915,O333,,T803,,B09,F01921,F14200,T096,,Z015
G138,H333,H831,J679,I432,K230,S3610,M020,L210,E619,N228,,N920,O334,,T804,,B200,F01922,F14201,T098,,Z016
G14,H334,H832,J680,I438,K231,S3611,M0200,L211,E630,N23,,N921,O335,,Z523,,B201,F0193,F14202,T114,,Z017
G20,H335,H833,J681,I440,K2380,S362,M0201,L218,E631,N250,,N922,O336,,Z832,,B202,F01930,F1421,T116,,Z018
G210,H340,H838,J682,I441,K2381,S3620,M0202,L219,E638,N251,,N923,O337,,Z862,,B203,F01931,F1422,T118,,Z019
G211,H341,H900,J683,I442,K2388,S3621,M0203,L22,E639,N258,,N924,O338,,Z94800,,B204,F01932,F1423,T134,,Z020
G212,H342,H901,J684,I443,K250 ,Z526,M0204,L230,E65,N259,,N925,O339,,Z94802,,B205,F0194,F1424,T136,,Z021
G213,H348,H902,J688,I444,K251,Z8001,M0205,L231,E6603,N26,,N926,O340,,Z94803,,B206,F01940,F14240,T138,,Z022
G214,H349,H903,J689,I445,K252,Z8371,M0206,L232,E6604,N270,,N930,O341,,Z94804,,B207,F01941,F14241,T360,,Z023
G218,H350,H904,J690,I446,K253,Z8501,M0207,L233,E6605,N271,,N938,O342,,Z94809,,B208,F01942,F1425,T361,,Z024
G219,H351,H905,J691,I447,K254,Z8712,M0208,L234,E6606,N279,,N939,O343,,,,B209,F020,F1426,T362,,Z025
G22,H352,H906,J698,I450,K255,Z944,M0209,L235,E6607,N280,,N940,O344,,,,B210,F0200,F143,T363,,Z026
G230,H353,H907,J700,I451,K256,Z9481,M021,L236,E6609,N281,,N941,O345,,,,B211,F02000,F1430,T364,,Z027
G231,H354,H908,J701,I452,K257,,M0210,L237,E6613,N288,,N942,O346,,,,B212,F02001,F1431,T365,,Z028
G232,H355,H910,J702,I453,K259,,M0211,L238,E6614,N290,,N943,O347,,,,B213,F02002,F144,T366,,Z029
G233,H356,H911,J703,I454,K260,,M0212,L239,E6615,N291,,N944,O348,,,,B217,F0201,F1440,T367,,Z036
G238,H357,H912,J704,I455,K261,,M0213,L240,E6616,N298,,N945,O349,,,,B218,F02010,F1441,,,Z038
G239,H358,H913,J708,I456,K262,,M0214,L241,E6617,N300,,N946,O350,,,,B219,F02011,F145,T368,,Z039
G240,H359,H918,J709,I458,K263,,M0215,L242,E6619,N301,,N948,O351,,,,B220,F02012,F1450,T369,,Z040
G241,H360,H919,J80,I459,K264,,M0216,L243,E6624,N302,,N950,O352,,,,B221,F0202,F1451,T370,,Z041
G242,H368,H920,J81,I460,K265,,M0217,L244,E6625,N303,,N951,O353,,,,B222,F02020,F1452,T371,,Z042
G243,H400,H921,J82,I461,K266,,M0218,L245,E6626,N304,,N952,O354,,,,B227,F02021,F1453,T372,,Z043
G244,H401,H922,J840,I469,K267,,M0219,L246,E6627,N308,,N953,O355,,,,B230,F02022,F1454,,,Z044
G245,H402,H930,J841,I470,K269,,M022,L247,E6629,N309,,N958,O356,,,,B231,F0203,F1455,T373,,Z045
G248,H403,H931,J848,I471,K270,,M0220,L248,E6683,N310,,N959,O357,,,,B232,F02030,F1456,T374,,Z046
G249,H404,H932,J849,I472,K271,,M0221,L249,E6684,N311,,N96,O358,,,,B238,F02031,F146,T375,,Z04800
G250,H405,H933,J850,I479,K272,,M0222,L250,E6685,N312,,N970,O359,,,,B24+0,F02032,F147,T378,,Z04801
G251,H406,H938,J851,I480,K273,,M0223,L251,E6686,N318,,N971,O360,,,,B24+1,F0204,F1470,,,Z04802
G252,H408,H940,J852,I481,K274,,M0224,L252,E6687,N319,,N972,O361,,,,B24+9,F02040,F1471,T379,,Z04880
G253,H409,H948,J853,I482,K275,,M0225,L253,E6689,N320,,N973,O362,,,,B258,F02041,F1472,T380,,Z090
G254,H420,H950,J860,I483,K276,,M0226,L254,E6693,N321,,N974,O363,,,,B259,F02042,F1473,T381,,Z091
G255,H428,H951,J869,I484,K277,,M0227,L255,E6694,N322,,N978,O364,,,,B268,F021,F1474,T382,,Z092
G256,H430,H958,J90,I489,K279,,M0228,L258,E6695,N323,,N979,O365,,,,B269,F0210,F1475,T383,,Z093
G258,H431,I860,J91,I490,K280,,M0229,L259,E6696,N324,,N980,O366,,,,B270,F02100,F148,T384,,Z094
G259,H432,J00,J920,I491,K281,,M023,L26,E6697,N328,,N981,O367,,,,B271,F02101,F149,T385,,Z097
G26,H433,J010,J929,I492,K282,,M0230,L270,E6699,N330,,N982,O368,,,,B278,F02102,F150,T386,,Z098
G300,H438,J011,J930,I493,K283,,M0231,L271,E670,N338,,N983,O40,,,,B279,F0211,F1500,,,Z099
G301,H439,J012,J931,I494,K284,,M0232,L272,E671,N340,,N988,O410,,,,B330,F02110,F1501,T387,,Z100
G308,H440,J013,J938,I495,K285,,M0233,L278,E672,N341,,N989,O411,,,,B331,F02111,F1502,T388,,Z101
G309,H441,J014,J939,I498,K286,,M0234,L279,E673,N342,,N992,O418,,,,B333,F02112,F1503,,,Z102
G310,H442,J018,J940,I499,K287,,M0235,L280,E678,N343,,N993,O419,,,,B338,F0212,F1504,T389,,Z103
G311,H443,J019,J941,I5000,K289,,M0236,L281,E700,N350,,N994,O420,,,,B340,F02120,F1505,T390,,Z108
G312,H444,J020,J942,I5001,K290,,M0237,L282,E701,N351,,P546,O421,,,,B341,F02121,F1506,T391,,Z110
G318,H445,J028,J948,I5002,K291,,M0238,L290,E702,N358,,Q500,O422,,,,B342,F02122,F1507,T392,,Z111
G319,H446,J029,J950,I5009,K292,,M0239,L293,E703,N359,,Q501,O429,,,,B343,F0213,F151,T393,,Z112
G320,H447,J030,J951,I5010,K293,,M028,L298,E708,N360,,Q502,O430,,,,B344,F02130,F152,T394,,Z113
G328,H448,J038,J952,I5011,K294,,M0280,L299,E709,N361,,Q503,O431,,,,B348,F02131,F1520,T398,,Z114
G35,H450,J039,J953,I5012,K295,,M0281,L300,E710,N362,,Q504,O432,,,,B349,F02132,F15200,,,Z115
G360,H451,J040,J954,I5019,K296,,M0282,L301,E711,N363,,Q505,O438,,,,B377,F0214,F15201,T399,,Z116
G361,H458,J042,J958,I509,K297,,M0283,L302,E712,N368,,Q506,O439,,,,B378,F02140,F15202,,,Z118
G368,H46,J050,J960,I510,K298,,M0284,L303,E713,N370,,Q510,O440,,,,B379,F02141,F1521,T400,,Z119
G369,H472,J051,J9600,I511,K299,,M0285,L304,E720,N378,,Q511,O441,,,,B387,F02142,F1522,T401,,Z120
G370,H473,J060,J9601,I512,K30,,M0286,L305,E721,N390,,Q512,O450,,,,B388,F022,F1523,T402,,Z121
G371,H480,J068,J9609,I513,K310,,M0287,L308,E722,N391,,Q513,O458,,,,B389,F0220,F1524,T403,,Z122
G372,H481,J069,J961,I514,K311,,M0288,L309,E723,N392,,Q514,O459,,,,B393,F02200,F15240,T404,,Z123
G373,H490,J300,J961+0,I515,K312,,M0289,L400,E724,N394,,Q515,O460,,,,B394,F02201,F15241,T405,,Z124
G374,H491,J301,J9610,I517,K313,,M029,L401,E725,N398,,Q516,O468,,,,B395,F02202,F1525,T406,,Z125
G375,H492,J302,J96100,I518,K314,,M0290,L402,E728,N990,,Q517,O469,,,,B399,F0221,F1526,T407,,Z126
G378,H493,J303,J96101,I520,K315,,M0291,L403,E729,N991,,Q518,O470,,,,B407,F02210,F153,T408,,Z128
G379,H494,J304,J961+1,I521,K316,,M0292,L404,E740,N995,,Q519,O471,,,,B408,F02211,F1530,T409,,Z129
G400,H498,J310,J9611,I528,K317,,M0293,L408,E744,N998,,Q520,O479,,,,B409,F02212,F1531,T410,,Z130
G401,H499,J311,J96110,I7000,K318,,M0294,L409,E748,P393,,Q521,O48,,,,B417,F0222,F154,T411,,Z131
G402,H500,J312,J96111,I7001,K352,,M0295,L410,E749,P960,,Q522,O600,,,,B418,F02220,F1540,T412,,Z132
G403,H501,J320,J9619,I701,K353,,M0296,L411,E755,Q600,,Q523,O601,,,,B419,F02221,F1541,T413,,Z133
G404,H502,J321,J96190,I7020,K358,,M0297,L413,E756,Q601,,Q524,O602,,,,B421,F02222,F155,T414,,Z134
G405,H503,J322,J96191,I7021,K36,,M0298,L414,E760,Q602,,Q525,O603,,,,B427,F0223,F1550,T415,,Z136
G406,H504,J323,J969,I7080,K37,,M0299,L415,E761,Q603,,Q526,O610,,,,B428,F02230,F1551,T420,,Z137
G407,H505,J324,J9690,I7081,K380,,M030,L418,E762,Q604,,Q527,O611,,,,B429,F02231,F1552,T421,,Z138
G408,H506,J328,J9691,I7090,K381,,M0300,L419,E763,Q605,,Q528,O618,,,,B438,F02232,F1553,T422,,Z200
G409,H508,J329,J9699,I7091,K382,,M0301,L42,E768,Q606,,Q529,O619,,,,B439,F0224,F1554,T423,,Z201
G410,H509,J330,J980,I710,K383,,M0302,L430,E769,Q610,,Q560,O620,,,,B447,F02240,F1555,T424,,Z202
G411,H510,J331,J981,I711,K388,,M0303,L431,E770,Q611,,Q561,O621,,,,B449,F02241,F1556,T425,,Z203
G412,H511,J338,J982,I712,K400,,M0304,L432,E771,Q612,,Q562,O622,,,,B457,F02242,F156,T426,,Z204
G418,H512,J339,J983,I713,K401,,M0305,L433,E778,Q613,,Q563,O623,,,,B458,F023,F157,T427,,Z205
G419,H518,J340,J984,I714,K402,,M0306,L438,E779,Q614,,Q564,O624,,,,B459,F0230,F1570,T428,,Z206
G430,H519,J341,J985,I715,K403,,M0307,L439,E780,Q615,,Q640,O628,,,,B461,F02300,F1571,T430,,Z207
G431,H520,J342,J9860,I716,K404,,M0308,L440,E781,Q618,,Q960,O629,,,,B464,F02301,F1572,T431,,Z208
G432,H521,J343,J9868,I718,K409,,M0309,L441,E782,Q619,,Q961,O630,,,,B465,F02302,F1573,T432,,Z209
G433,H522,J348,J988,I719,K410,,M031,L442,E783,Q620,,Q962,O631,,,,B468,F0231,F1574,T433,,Z220
G438,H523,J350,J990,I720,K411,,M0310,L443,E784,Q621,,Q963,O632,,,,B469,F02310,F1575,T434,,Z221
G439,H524,J351,J991,I721,K412,,M0311,L444,E785,Q622,,Q964,O639,,,,B480,F02311,F158,T435,,Z222
G440,H525,J352,J998,I722,K413,,M0312,L448,E786,Q623,,Q968,O640,,,,B481,F02312,F159,T436,,Z223
G441,H526,J353,P220,I723,K414,,M0313,L449,E788,Q624,,Q969,O641,,,,B482,F0232,F160,T438,,Z224
G442,H527,J358,P221,I724,K419,,M0314,L45,E789,Q625,,Q970,O642,,,,B483,F02320,F1600,T439,,Z226
G443,H530,J359,P228,I728,K420,,M0315,L500,E791,Q626,,Q971,O643,,,,B484,F02321,F1601,T440,,Z228
G444,H531,J36,P229,I729,K421,,M0316,L501,E798,Q627,,Q972,O644,,,,B487,F02322,F1602,T441,,Z229
G448,H532,J370,P230,I730,K429,,M0317,L502,E799,Q628,,Q973,O645,,,,B488,F0233,F1603,T442,,Z230
G450,H533,J371,P231,I731,K430,,M0318,L503,E800,Q630,,Q978,O648,,,,B508,F02330,F1604,T443,,Z231
G451,H534,J380,P232,I738,K431,,M0319,L504,E801,Q631,,Q979,O649,,,,B509,F02331,F1605,T444,,Z232
G452,H535,J381,P233,I739,K432,,M032,L505,E802,Q632,,Q990,O650,,,,B518,F02332,F1606,T445,,Z233
G453,H536,J382,P234,I740,K433,,M0320,L506,E803,Q633,,Q991,O651,,,,B519,F0234,F1607,T446,,Z234
G454,H538,J383,P235,I741,K434,,M0321,L508,E830,Q638,,Q992,O652,,,,B528,F02340,F161,T447,,Z235
G458,H539,J384,P236,I742,K435,,M0322,L509,E831,Q639,,R870,O653,,,,B529,F02341,F162,T448,,Z236
G459,H540,J385,P238,I743,K436,,M0323,L510,E832,Q641,,R871,O654,,,,B530,F02342,F1620,T449,,Z237
G460,H541,J386,P239,I744,K437,,M0324,L511,E833,Q642,,R872,O655,,,,B531,F024,F16200,T450,,Z238
G461,H542,J387,P240,I745,K439,,M0325,L5129,E834,Q643,,R873,O658,,,,B538,F0240,F16201,T451,,Z240
G462,H543,J390,P241,I748,K440,,M0326,L518,E8350,Q644,,R874,O659,,,,B54,F02400,F16202,T452,,Z241
G463,H544,J391,P242,I770,K441,,M0327,L519,E8351,Q645,,R875,O660,,,,B550,F02401,F1621,T453,,Z242
G464,H545,J392,P243,I771,K449,,M0328,L52,E8358,Q646,,R876,O661,,,,B559,F02402,F1622,T454,,Z243
G465,H546,J393,P248,I772,K450,,M0329,L530,E838,Q647,,R877,O662,,,,B560,F0241,F1623,T455,,Z244
G466,H549,J398,P249,I773,K451,,M036,L531,E839,Q648,,R878,O663,,,,B561,F02410,F1624,T456,,Z245
G467,H55,J955,P250,I775,K458,,M0360,L532,E848,Q649,,R879,O664,,,,B569,F02411,F16240,T457,,Z246
G468,H570,K000,P251,I776,K460,,M0361,L533,E849,R300,,S302,O665,,,,B571,F02412,F16241,T458,,Z250
G470,H571,K001,P252,I778,K461,,M0362,L538,E86,R301,,S314,O668,,,,B573,F0242,F1625,T459,,Z251
G471,H578,K002,P253,I780,K469,,M0363,L539,E8700,R309,,S315,O669,,,,B575,F02420,F1626,T460,,Z258
G472,H580,K003,P258,I788,K500,,M0364,L540,E8708,R31,,S374,O670,,,,B588,F02421,F163,T461,,Z260
G474,H581,K004,P260,I790,K501,,M0365,L548,E8710,R32,,S3740,O678,,,,B589,F02422,F1630,T462,,Z268
G478,H588,K005,P261,I791,K508,,M0366,L550,E8718,R33,,S3741,O679,,,,B600,F0243,F1631,T463,,Z269
G479,H590,K006,P268,I792,K509,,M0367,L551,E872,R34,,S375,O680,,,,B601,F02430,F164,T464,,Z270
G500,H598,K007,P269,I798,K510,,M0368,L552,E873,R35,,S3750,O681,,,,B6080,F02431,F1640,T465,,Z271
G501,P153,K008,P270,I800,K512,,M0369,L558,E874,R36,,S3751,O682,,,,B6088,F02432,F1641,T466,,Z272
G508,P391,K009,P271,I801,K513,,M050,L559,E8750,R390,, S376,O683,,,,B652,F0244,F165,T467,,Z273
G509,Q100,K010,P278,I802,K514,,M0500,L560,E8758,R391,,S3760,O688,,,,B658,F02440,F1650,T468,,Z274
G510,Q101,K011,P279,I803,K515,,M0501,L561,E8760,R392,,S3761,O689,,,,B659,F02441,F1651,T469,,Z278
G511,Q102,K020,P280,I808,K518,,M0502,L562,E8768,R398,,S37808,O690,,,,B668,F02442,F1652,T470,,Z279
G512,Q103,K021,P281,I809,K519,,M0503,L563,E877,R80,,S37818,O691,,,,B669,F028,F1653,T471,,Z280
G513,Q104,K022,P283,I821,K520,,M0504,L564,E878,R820,,S380,O692,,,,B673,F0280,F1654,T472,,Z281
G514,Q105,K023,P284,I822,K521,,M0505,L568,E880,R823,,S382,O693,,,,B674,F02800,F1655,T473,,Z282
G518,Q106,K024,P285,I823,K522,,M0506,L569,E881,R827,,T192,O694,,,,B676,F02801,F1656,T474,,Z288
G519,Q107,K025,P288,I828,K523,,M0507,L570,E882,R828,,T193,O695,,,,B677,F02802,F166,T475,,Z289
G520,Q110,K028,P289,I830,K528,,M0508,L571,E883,R829,,T833,O698,,,,B679,F0281,F167,T476,,Z290
G521,Q111,K029,P370,I831,K529,,M0509,L572,E888,R934,,T834,O699,,,,B698,F02810,F1670,T477,,Z291
G522,Q112,K030,Q320,I832,K550,,M051,L573,E890,R944,,Z301,O700,,,,B700,F02811,F1671,T478,,Z292
G523,Q113,K031,Q321,I839,K551,,M0510,L574,E891,S370,,Z302,O701,,,,B701,F02812,F1672,T479,,Z298
G527,Q120,K032,Q322,I868,K552,,M0511,L575,E892,S3700,,Z303,O702,,,,B73,F0282,F1673,T480,,Z299
G528,Q121,K033,Q323,I870,K553,,M0512,L578,E893,S3701,,Z305,O703,,,,B740,F02820,F1674,T481,,Z300
G530,Q122,K034,Q324,I871,K558,,M0513,L579,E895,S371,,Z310,O709,,,,B741,F02821,F1675,T482,,Z304
G531,Q123,K035,Q330,I872,K559,,M0514,L580,E896,S3710,,Z311,O710,,,,B742,F02822,F168,T483,,Z308
G532,Q124,K036,Q331,I878,K560,,M0515,L581,E898,S3711,,Z312,O711,,,,B743,F0283,F169,T484,,Z309
G533,Q128,K037,Q332,I950,K561,,M0516,L589,E90,S372,,Z313,O712,,,,B744,F02830,F170,T485,,Z315
G538,Q129,K038,Q333,I951,K562,,M0517,L590,L987,S3720,,Z314,O713,,,,B748,F02831,F1700,T486,,Z316
G540,Q130,K039,Q334,I952,K563,,M0518,L598,P050,S3721,,Z4001,O714,,,,B749,F02832,F1701,T487,,Z318
G541,Q131,K040,Q335,I958,K564,,M0519,L599,P051,S373,,Z437,O715,,,,B75,F0284,F1702,T490,,Z319
G542,Q132,K041,Q336,I959,K565,,M052,L600,P052,S3730,,Z4581,O716,,,,B787,F02840,F1703,T491,,Z320
G543,Q133,K042,Q338,I970,K566,,M0520,L601,P059,S3731,,Z5280,O717,,,,B830,F02841,F1704,T492,,Z408
G544,Q134,K043,Q339,I971,K567,,M0521,L602,P070,T190,,Z804,O718,,,,B831,F02842,F1705,T493,,Z409
G545,Q135,K044,Q340,I978,K570,,M0522,L603,P071,T191,,Z8421,O719,,,,B834,F03,F1706,T494,,Z412
G546,Q138,K045,Q341,I980,K571,,M0523,L604,P072,T198,,Z854,O720,,,,B838,F03+0,F1707,T495,,Z413
G547,Q139,K046,Q348,I981,K572,,M0524,L605,P073,T795,,Z8741,O721,,,,B839,F03+00,F171,T496,,Z4180
G548,Q140,K047,Q676,I988,K573,,M0525,L608,P080,T830,,Z907,O722,,,,B878,F03+01,F172,T497,,Z4188
G550,Q141,K048,Q677,M314,K574,,M0526,L609,P081,T831,,,O723,,,,B888,F03+02,F1720,T498,,Z438
G552,Q142,K049,Q678,P290,K575,,M0527,L620,P082,T832,,,O730,,,,B99+0,F03+1,F17200,T499,,Z443
G553,Q143,K050,Q766,P291,K578,,M0528,L628,P544,Z435,,,O731,,,,B99+1,F03+10,F17201,T500,,Z448
G558,Q148,K051,Q767,P292,K579,,M0529,L630,P700,Z436,,,O740,,,,P350,F03+11,F17202,T501,,Z449
G560,Q149,K052,Q768,P293,K581,,M053,L631,P701,Z4580,,,O741,,,,P351,F03+12,F1721,T502,,Z4588
G561,Q150,K053,Q769,P294,K582,,M0530,L632,P702,Z466,,,O742,,,,P352,F03+2,F1722,T503,,Z459
G562,Q158,K054,Q772,P298,K583,,M0531,L638,P703,Z490,,,O743,,,,P354,F03+20,F1723,T504,,Z460
G563,Q159,K055,Q790,Q200,K588,,M0532,L639,P704,Z491,,,O744,,,,P358,F03+21,F1724,T505,,Z461
G568,R441,K056,Q791,Q201,K590,,M0533,L640,P708,Z492,,,O745,,,,P359,F03+22,F17240,T506,,Z462
G569,R941,K060,R042,Q202,K591,,M0534,L648,P709,Z4920,,,O746,,,,P3600,F03+3,F17241,T507,,Z463
G570,S001,K061,R048,Q203,K592,,M0535,L649,P710,Z4921,,,O747,,,,P3609,F03+30,F1725,T508,,Z464
G571,S002,K062,R049,Q204,K593,,M0536,L650,P711,Z524,,,O748,,,,P3610,F03+31,F1726,T509,,Z467
G572,S011,K068,R05,Q205,K594,,M0537,L651,P712,Z805,,,O749,,,,P3619,F03+32,F173,T510,,Z468
G573,S0230,K069,R060,Q206,K598,,M0538,L652,P713,Z841,,,O750,,,,P3620,F03+4,F1730,T511,,Z480
G574,S0231,K070,R061,Q208,K599,,M0539,L658,P714,Z8420,,,O751,,,,P3629,F03+40,F1731,T512,,Z488
G575,S050,K071,R062,Q209,K600,,M058,L659,P718,Z855,,,O752,,,,P3630,F03+41,F174,T513,,Z489
G576,S051,K072,R063,Q210,K601,,M0580,L660,P719,Z86005,,,O753,,,,P3639,F03+42,F1740,T518,,Z500
G578,S052,K073,R064,Q211,K602,,M0581,L661,P720,Z8740,,,O754,,,,P3640,F04,F1741,T519,,Z501
G579,S053,K074,R066,Q212,K603,,M0582,L662,P721,Z905,,,O755,,,,P3649,F050,F175,T520,,Z504
G580,S054,K075,R068,Q213,K604,,M0583,L663,P722,Z906,,,O756,,,,P3650,F051,F1750,T521,,Z505
G587,S055,K076,R071,Q214,K605,,M0584,L664,P728,Z935,,,O757,,,,P3659,F058,F1751,T522,,Z506
G588,S056,K078,R090,Q218,K610,,M0585,L668,P729,Z936,,,O758,,,,P3680,F059,F1752,T523,,Z507
G589,S057,K079,R091,Q219,K611,,M0586,L669,P740,Z940,,,O759,,,,P3689,F060,F1753,T524,,Z508
G590,S058,K080,R092,Q220,K612,,M0587,L670,P741,Z992,,,O800,,,,P3690,F061,F1754,T528,,Z509
G598,S059,K081,R093,Q221,K613,,M0588,L671,P742,Z992+0,,,O801,,,,P3699,F062,F1755,T529,,Z512
G600,T150,K082,R683,Q222,K614,,M0589,L678,P743,Z992+1,,,O808,,,,P371,F063,F1756,T530,,Z513
G601,T151,K083,R761,Q223,K620,,M059,L679,P744,Z992+8,,,O809,,,,P372,F0630,F176,T531,,Z5130
G602,T158,K088,R840,Q224,K621,,M0590,L680,P745,,,,O85,,,,P373,F0631,F177,T532,,Z5131
G603,T159,K090,R841,Q225,K622,,M0591,L681,P748,,,,O860,,,,P374,F0632,F1770,T533,,Z514
G608,T260,K091,R842,Q226,K623,,M0592,L682,P749,,,,O861,,,,P375,F0633,F1771,T534,,Z515
G609,T261,K092,R843,Q228,K624,,M0593,L683,P920,,,,O862,,,,P378,F064,F1772,T535,,Z516
G610,T262,K098,R844,Q229,K625,,M0594,L688,P921,,,,O863,,,,P379,F065,F1773,T536,,Z5180
G611,T263,K099,R845,Q230,K626,,M0595,L689,P922,,,,O864,,,,P392,F066,F1774,T537,,Z5188
G618,T264,K100,R846,Q231,K627,,M0596,L700,P923,,,,O868,,,,P398,F067,F1775,T539,,Z520
G619,T265,K101,R847,Q232,K628,,M0597,L701,P924,,,,O870,,,,P399,F0670,F178,T540,,Z525
G620,T266,K102,R848,Q233,K630,,M0598,L702,P925,,,,O871,,,,R508,F0671,F179,T541,,Z5288
G621,T267,K103,R849,Q234,K631,,M0599,L703,P928,,,,O872,,,,R509,F068,F180,T542,,Z529
G622,T268,K108,R91,Q238,K632,,M060,L704,P929,,,,O873,,,,R650,F069,F1800,T543,,Z530
G628,T269,K110,R942,Q239,K633,,M0600,L705,Q891,,,,O878,,,,R75,F070,F1801,T549,,Z531
G629,T852,K111,S2220,Q240,K634,,M0601,L708,Q892,,,,O879,,,,T793,F071,F1802,T55,,
G630,T853,K112,S2221,Q241,K635,,M0602,L709,R290,,,,O880,,,,U0714,F078,F1803,T560,,Z532
G631,T8683,K113,S2230,Q242,K635+0,,M0603,L710,R620,,,,O881,,,,U0715,F079,F1804,T561,,
G632,Z1350,K114,S2231,Q243,K635+8,,M0604,L711,R628,,,,O882,,,,Z21,F09,F1805,T562,,Z538
G633,Z442,K115,S2240,Q244,K638,,M0605,L718,R629,,,,O883,,,,Z830,F200,F1806,T563,,Z539
G634,Z4582,K116,S2241,Q245,K640,,M0606,L719,R630,,,,O888,,,,Z831,F2000,F1807,T564,,Z540
G635,Z80801,K117,S2250,Q246,K641,,M0607,L720,R631,,,,O890,,,,Z861,F2001,F181,T565,,Z541
G636,Z821,K118,S2251,Q248,K642,,M0608,L721,R632,,,,O891,,,,,F2002,F182,T566,,Z542
G638,Z8350,K119,S2280,Q249,K643,,M0609,L722,R633,,,,O892,,,,,F2003,F1820,T567,,Z543
G64,Z85801,K120,S2281,Q250,K644,,M061,L728,R634,,,,O893,,,,,F2004,F18200,T568,,Z544
G700,Z8662,K121,S234,Q251,K645,,M0610,L729,R635,,,,O894,,,,,F2005,F18201,T569,,Z547
G701,Z947,K122,S270,Q252,K648,,M0611,L730,R636,,,,O895,,,,,F2008,F18202,T570,,Z548
G702,Z961,K123,S2700,Q253,K649,,M0612,L731,R638,,,,O896,,,,,F2009,F1821,T571,,Z549
G708,Z970,K130,S2701,Q254,K650,,M0613,L732,R730,,,,O898,,,,,F201,F1822,T572,,Z5500
G709,Z973,K131,S271,Q255,K658,,M0614,L738,R739,,,,O899,,,,,F2010,F1823,T573,,Z5508
G710,,K132,S2710,Q256,K659,,M0615,L739,R81,,,,O900,,,,,F2011,F1824,T578,,Z551
G711,,K133,S2711,Q257,K660,,M0616,L740,R824,,,,O901,,,,,F2012,F18240,T579,,Z552
G712,,K134,S272,Q258,K661,,M0617,L741,R946,,,,O902,,,,,F2013,F18241,T58,,Z553
G713,,K135,S2720,Q259,K662,,M0618,L742,R947,,,,O903,,,,,F2014,F1825,T590,,Z554
G718,,K136,S2721,Q260,K668,,M0619,L743,S111,,,,O904,,,,,F2015,F1826,T591,,Z558
G719,,K137,S273,Q261,K670,,M062,L744,S37800,,,,O905,,,,,F2018,F183,T592,,Z559
G720,,K140,S2730,Q262,K671,,M0620,L748,S37810,,,,O908,,,,,F2019,F1830,T593,,Z560
G721,,K141,S2731,Q263,K672,,M0621,L749,T8550,,,,O909,,,,,F202,F1831,T594,,Z561
G722,,K142,S274,Q264,K673,,M0622,L750,Z80805,,,,O910,,,,,F2020,F184,T595,,Z562
G723,,K143,S2740,Q265,K678,,M0623,L751,Z833,,,,O911,,,,,F2021,F1840,T596,,Z563
G724,,K144,S2741,Q266,K900,,M0624,L752,Z834,,,,O912,,,,,F2022,F1841,T597,,Z564
G728,,K145,S275,Q268,K901,,M0625,L758,Z85805,,,,O920,,,,,F2023,F185,T598,,Z565
G729,,K146,S2750,Q269,K902,,M0626,L759,Z863,,,,O921,,,,,F2024,F1850,T599,,Z566
G730,,K148,S2751,Q270,K903,,M0627,L80,Z964,,,,O922,,,,,F2025,F1851,T600,,Z567
G731,,K9380,S276,Q271,K904,,M0628,L810,,,,,O923,,,,,F2028,F1852,T601,,Z570
G732,,M950,S2760,Q272,K908,,M0629,L811,,,,,O924,,,,,F2029,F1853,T602,,Z571
G733,,M951,S2761,Q273,K909,,M063,L812,,,,,O925,,,,,F203,F1854,T603,,Z572
G734,,Q160,S280,Q274,K910,,M0630,L813,,,,,O926,,,,,F2030,F1855,T604,,Z573
G735,,Q161,S281,Q278,K911,,M0631,L814,,,,,O927,,,,,F2031,F1856,T608,,Z574
G736,,Q162,T174,Q279,K912,,M0632,L815,,,,,O95,,,,,F2032,F186,T609,,Z575
G737,,Q163,T175,Q288,K913,,M0633,L816,,,,,O960,,,,,F2033,F187,T610,,Z576
G800,,Q164,T178,R000,K914,,M0634,L817,,,,,O961,,,,,F2034,F1870,T611,,Z577
G801,,Q165,T179,R001,K918,,M0635,L818,,,,,O969,,,,,F2035,F1871,T612,,Z578
G802,,Q169,T270,R002,K920,,M0636,L819,,,,,O970,,,,,F2038,F1872,T618,,Z579
G803,,Q170,T271,R003,K921,,M0637,L82,,,,,O971,,,,,F2039,F1873,T619,,Z580
G804,,Q171,T272,R008,K922,,M0638,L83,,,,,O979,,,,,F204,F1874,T620,,Z581
G808,,Q172,T273,R010,K928,,M0639,L84,,,,,O980,,,,,F2040,F1875,T621,,Z582
